date,home_team,away_team,home_goals,away_goals,result,r_home_pre,r_away_pre,p_home,p_away,p_draw,r_home_post,r_away_post
2024-08-15,Ath Bilbao,Getafe,1,1,D,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1498.3,1501.7
2024-08-15,Betis,Girona,1,1,D,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1498.3,1501.7
2024-08-16,Las Palmas,Sevilla,2,2,D,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1498.3,1501.7
2024-08-16,Celta,Alaves,2,1,H,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1508.3,1491.7
2024-08-17,Osasuna,Leganes,1,1,D,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1498.3,1501.7
2024-08-17,Valencia,Barcelona,1,2,A,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1488.3,1511.7
2024-08-18,Sociedad,Vallecano,1,2,A,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1488.3,1511.7
2024-08-18,Mallorca,Real Madrid,1,1,D,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1498.3,1501.7
2024-08-19,Valladolid,Espanol,1,0,H,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1508.3,1491.7
2024-08-19,Villarreal,Ath Madrid,2,2,D,1500.0,1500.0,0.4391240090038571,0.3108759909961429,0.25,1498.3,1501.7
2024-08-23,Celta,Valencia,3,1,H,1508.3,1488.3,0.46598398331638874,0.29401601668361127,0.24000000000000002,1516.0,1480.6
2024-08-23,Sevilla,Villarreal,1,2,A,1501.7,1498.3,0.44371055695847195,0.3079994166149642,0.24829002642656384,1489.9,1510.1
2024-08-24,Getafe,Vallecano,0,0,D,1501.7,1511.7,0.42574002246924414,0.31925997753075586,0.255,1500.3,1513.1
2024-08-24,Osasuna,Mallorca,1,0,H,1498.3,1498.3,0.4391240090038571,0.3108759909961429,0.25,1506.6,1490.0
2024-08-24,Barcelona,Ath Bilbao,2,1,H,1511.7,1498.3,0.45713955204425255,0.2995704215291836,0.24329002642656386,1519.6,1490.4
2024-08-24,Espanol,Sociedad,0,1,A,1491.7,1488.3,0.44371055695847195,0.3079994166149642,0.24829002642656384,1479.9,1500.1
2024-08-25,Real Madrid,Valladolid,3,0,H,1501.7,1508.3,0.43031204361114356,0.3163979299622926,0.25329002642656384,1510.2,1499.8
2024-08-25,Leganes,Las Palmas,2,1,H,1501.7,1498.3,0.44371055695847195,0.3079994166149642,0.24829002642656384,1509.9,1490.1
2024-08-25,Alaves,Betis,0,0,D,1491.7,1498.3,0.43031204361114356,0.3163979299622926,0.25329002642656384,1490.2,1499.8
2024-08-25,Ath Madrid,Girona,3,0,H,1501.7,1501.7,0.4391240090038571,0.3108759909961429,0.25,1510.0,1493.4
2024-08-26,Villarreal,Celta,4,3,H,1510.1,1516.0,0.4311792017815016,0.3158548492705605,0.25296594894793795,1518.6,1507.6
2024-08-27,Mallorca,Sevilla,0,0,D,1490.0,1489.9,0.43925188631047735,0.31079580975333515,0.2499523039361875,1488.3,1491.6
2024-08-27,Vallecano,Barcelona,1,2,A,1513.1,1519.6,0.43043459180364063,0.31632118548994637,0.253244222706413,1501.6,1531.2
2024-08-28,Ath Bilbao,Valencia,1,0,H,1490.4,1480.6,0.45230219535830307,0.3026075825596686,0.2450902220820283,1498.4,1472.5
2024-08-28,Valladolid,Leganes,0,0,D,1499.8,1509.9,0.4256210771417464,0.3193344056195678,0.2550445172386858,1498.4,1511.3
